latitud,longitud,region,periodo,periodo_date
-34.6616975,-58.3627502,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7064106917,-58.3866691589,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7064106917,-58.3866691589,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.9222528516,-57.9656844086,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.8233558352,-58.3822276958,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.9212274778,-57.9518969309,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7065165312,-58.3854675293,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7917915,-58.3739682,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.771253,-58.1939893,Bs.As. G.B.A. Zona Norte,04-2015,2015-04-01
-34.8060493,-58.3716164,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7064093579,-58.3973137142,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7055992509,-58.3958959579,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
